SrcEntity	TgtEntity	Relation	Score
http://cmt#PaperAbstract	http://conference#Abstract	=	0.7905
http://cmt#Reviewer	http://conference#Reviewer	=	1.0000
http://cmt#Preference	http://conference#Review_preference	=	0.8356
http://cmt#Conference	http://conference#Conference	=	1.0000
http://cmt#Paper	http://conference#Paper	=	1.0000
http://cmt#Chairman	http://conference#Chair	=	0.7332
http://cmt#hasProgramCommitteeMember	http://conference#has_a_program_committee	=	0.8780
http://cmt#ProgramCommitteeMember	http://conference#Committee_member	=	0.7319
http://cmt#hasAuthor	http://conference#has_authors	=	0.9539
http://cmt#memberOfProgramCommittee	http://conference#was_a_program_committee_of	=	0.8353
http://cmt#endReview	http://conference#reviews	=	0.7862
http://cmt#Person	http://conference#Person	=	1.0000
http://cmt#Review	http://conference#Review	=	1.0000
http://cmt#ConferenceMember	http://conference#Conference_part	=	0.7409
http://cmt#ProgramCommittee	http://conference#Program_committee	=	1.0000
http://cmt#Co-author	http://conference#Contribution_co-author	=	0.7532
