SrcEntity	TgtEntity	Relation	Score
http://cmt#Document	http://edas#Document	=	1.0000
http://cmt#ConferenceChair	http://edas#ConferenceChair	=	1.0000
http://cmt#Conference	http://edas#Conference	=	1.0000
http://cmt#writtenBy	http://edas#isWrittenBy	=	0.7903
http://cmt#Person	http://edas#Person	=	1.0000
http://cmt#ConferenceMember	http://edas#ConferenceDinner	=	0.7216
http://cmt#Reviewer	http://edas#Reviewer	=	1.0000
http://cmt#Author	http://edas#Author	=	1.0000
http://cmt#Review	http://edas#Review	=	1.0000
http://cmt#Paper	http://edas#Paper	=	1.0000
