SrcEntity	TgtEntity	Relation	Score
http://cmt#writtenBy	http://ekaw#writtenBy	=	1.0000
http://cmt#ConferenceChair	http://ekaw#Conference_Paper	=	0.7413
http://cmt#Conference	http://ekaw#Conference	=	1.0000
http://cmt#Person	http://ekaw#Person	=	1.0000
http://cmt#Review	http://ekaw#Review	=	1.0000
http://cmt#hasAuthor	http://ekaw#authorOf	=	0.7564
http://cmt#Paper	http://ekaw#Paper	=	1.0000
http://cmt#assignReviewer	http://ekaw#hasReviewer	=	0.7588
http://cmt#endReview	http://ekaw#hasReview	=	0.7605
http://cmt#Document	http://ekaw#Document	=	1.0000
http://cmt#PaperAbstract	http://ekaw#Abstract	=	0.7905
http://cmt#ConferenceMember	http://ekaw#Conference_Participant	=	0.7252
