SrcEntity	TgtEntity	Relation	Score
http://cmt#ProgramCommittee	http://sigkdd#Program_Committee	=	1.0000
http://cmt#Review	http://sigkdd#Review	=	1.0000
http://cmt#Conference	http://sigkdd#Conference	=	1.0000
http://cmt#date	http://sigkdd#Date	=	1.0000
http://cmt#PaperAbstract	http://sigkdd#Abstract	=	0.7905
http://cmt#Author	http://sigkdd#Author	=	1.0000
http://cmt#ConferenceChair	http://sigkdd#Conference_hall	=	0.7386
http://cmt#name	http://sigkdd#Name	=	1.0000
http://cmt#Person	http://sigkdd#Person	=	1.0000
http://cmt#Paper	http://sigkdd#Paper	=	1.0000
http://cmt#Document	http://sigkdd#Document	=	1.0000
http://cmt#email	http://sigkdd#E-mail	=	0.7959
http://cmt#ProgramCommitteeMember	http://sigkdd#Program_Committee_member	=	1.0000
