SrcEntity	TgtEntity	Relation	Score
http://confOf#Country	http://edas#Country	=	1.0000
http://confOf#Reception	http://edas#Reception	=	1.0000
http://confOf#Conference	http://edas#Conference	=	1.0000
http://confOf#hasEmail	http://edas#hasEmail	=	1.0000
http://confOf#Author	http://edas#Author	=	1.0000
http://confOf#Social_event	http://edas#SocialEvent	=	1.0000
http://confOf#hasPostalCode	http://edas#hasPostalCode	=	1.0000
http://confOf#hasFirstName	http://edas#hasFirstName	=	1.0000
http://confOf#Member	http://edas#TPCMember	=	0.7615
http://confOf#Workshop	http://edas#Workshop	=	1.0000
http://confOf#Paper	http://edas#Paper	=	1.0000
http://confOf#Organization	http://edas#Organization	=	1.0000
http://confOf#writtenBy	http://edas#isWrittenBy	=	0.7903
http://confOf#Person	http://edas#Person	=	1.0000
http://confOf#hasCountry	http://edas#hasCountry	=	1.0000
http://confOf#hasTopic	http://edas#hasTopic	=	1.0000
http://confOf#hasStreet	http://edas#hasStreet	=	1.0000
http://confOf#hasPhone	http://edas#hasPhone	=	1.0000
http://confOf#Topic	http://edas#Topic	=	1.0000
