SrcEntity	TgtEntity	Relation	Score
http://confOf#Member_PC	http://ekaw#PC_Member	=	0.8381
http://confOf#reviewes	http://ekaw#hasReviewer	=	0.7994
http://confOf#Poster	http://ekaw#Poster_Paper	=	0.7388
http://confOf#Social_event	http://ekaw#Social_Event	=	1.0000
http://confOf#Tutorial	http://ekaw#Tutorial	=	1.0000
http://confOf#Workshop	http://ekaw#Workshop	=	1.0000
http://confOf#writtenBy	http://ekaw#writtenBy	=	1.0000
http://confOf#Conference	http://ekaw#Conference	=	1.0000
http://confOf#Event	http://ekaw#Event	=	1.0000
http://confOf#Participant	http://ekaw#Conference_Participant	=	0.7389
http://confOf#University	http://ekaw#University	=	1.0000
http://confOf#Person	http://ekaw#Person	=	1.0000
http://confOf#Regular	http://ekaw#Regular_Paper	=	0.7428
http://confOf#Paper	http://ekaw#Paper	=	1.0000
http://confOf#Student	http://ekaw#Student	=	1.0000
http://confOf#Organization	http://ekaw#Organisation	=	0.8797
http://confOf#Member	http://ekaw#SC_Member	=	0.7710
http://confOf#Chair_PC	http://ekaw#PC_Chair	=	0.8266
