SrcEntity	TgtEntity	Relation	Score
http://confOf#Banquet	http://iasted#Dinner_banquet	=	0.7910
http://confOf#Trip	http://iasted#Trip_day	=	0.7440
http://confOf#University	http://iasted#Presenter_university	=	0.7207
http://confOf#writes	http://iasted#write	=	0.8961
http://confOf#Person	http://iasted#Person	=	1.0000
http://confOf#City	http://iasted#City	=	1.0000
http://confOf#Student	http://iasted#Student_lecturer	=	0.7252
http://confOf#Author	http://iasted#Author	=	1.0000
http://confOf#Member	http://iasted#IASTED_member	=	0.7463
http://confOf#Tutorial	http://iasted#Tutorial	=	1.0000
http://confOf#Reception	http://iasted#Coctail_reception	=	0.7634
