SrcEntity	TgtEntity	Relation	Score
http://conference#has_a_location	http://confOf#location	=	0.7954
http://conference#Person	http://confOf#Person	=	1.0000
http://conference#Topic	http://confOf#Topic	=	1.0000
http://conference#Camera_ready_contribution	http://confOf#Camera_Ready_event	=	0.7556
http://conference#Chair	http://confOf#Chair_PC	=	0.7496
http://conference#Conference_participant	http://confOf#Participant	=	0.7389
http://conference#has_an_email	http://confOf#hasEmail	=	0.7617
http://conference#Paper	http://confOf#Paper	=	1.0000
http://conference#Organization	http://confOf#Organization	=	1.0000
http://conference#reviews	http://confOf#reviewes	=	0.8387
http://conference#Tutorial	http://confOf#Tutorial	=	1.0000
http://conference#Conference	http://confOf#Conference	=	1.0000
http://conference#Regular_author	http://confOf#Regular	=	0.7498
http://conference#Written_contribution	http://confOf#Contribution	=	0.8210
http://conference#Workshop	http://confOf#Workshop	=	1.0000
http://conference#Poster	http://confOf#Poster	=	1.0000
