SrcEntity	TgtEntity	Relation	Score
http://conference#has_members	http://edas#hasMember	=	0.8901
http://conference#Call_for_paper	http://edas#CallForPapers	=	0.9461
http://conference#has_an_email	http://edas#hasEmail	=	0.7617
http://conference#Person	http://edas#Person	=	1.0000
http://conference#is_a_starting_date	http://edas#startDate	=	0.7780
http://conference#has_the_last_name	http://edas#hasLastName	=	0.8697
http://conference#Review	http://edas#Review	=	1.0000
http://conference#has_a_name	http://edas#hasName	=	0.8719
http://conference#was_a_member_of	http://edas#isMemberOf	=	0.7901
http://conference#Workshop	http://edas#Workshop	=	1.0000
http://conference#Presentation	http://edas#PaperPresentation	=	0.8470
http://conference#Paper	http://edas#Paper	=	1.0000
http://conference#Reviewer	http://edas#Reviewer	=	1.0000
http://conference#Conference	http://edas#Conference	=	1.0000
http://conference#Conference_fees	http://edas#ConferenceSession	=	0.7338
http://conference#Conference_document	http://edas#ConferenceEvent	=	0.7921
http://conference#has_a_program_committee	http://edas#hasProgramme	=	0.7561
http://conference#Organization	http://edas#Organization	=	1.0000
http://conference#Topic	http://edas#Topic	=	1.0000
http://conference#Conference_part	http://edas#ConferenceDinner	=	0.7602
