SrcEntity	TgtEntity	Relation	Score
http://conference#Presentation	http://ekaw#Individual_Presentation	=	0.7521
http://conference#Review	http://ekaw#Review	=	1.0000
http://conference#Conference_fees	http://ekaw#Conference_Session	=	0.7338
http://conference#Tutorial	http://ekaw#Tutorial	=	1.0000
http://conference#has_a_publisher	http://ekaw#publisherOf	=	0.7627
http://conference#Invited_talk	http://ekaw#Invited_Talk	=	1.0000
http://conference#Conference_participant	http://ekaw#Conference_Participant	=	1.0000
http://conference#Paper	http://ekaw#Paper	=	1.0000
http://conference#has_a_review_expertise	http://ekaw#hasReviewer	=	0.7613
http://conference#has_parts	http://ekaw#hasPart	=	0.8765
http://conference#Organization	http://ekaw#Organisation	=	0.8797
http://conference#Invited_speaker	http://ekaw#Invited_Speaker	=	1.0000
http://conference#Conference	http://ekaw#Conference	=	1.0000
http://conference#Conference_www	http://ekaw#Conference_Trip	=	0.7308
http://conference#Abstract	http://ekaw#Abstract	=	1.0000
http://conference#Poster	http://ekaw#Poster_Paper	=	0.7388
http://conference#Conference_part	http://ekaw#Conference_Paper	=	0.8152
http://conference#Track-workshop_chair	http://ekaw#Workshop_Chair	=	0.8532
http://conference#Person	http://ekaw#Person	=	1.0000
http://conference#Co-chair	http://ekaw#OC_Chair	=	0.7633
http://conference#Workshop	http://ekaw#Workshop	=	1.0000
http://conference#has_a_review	http://ekaw#hasReview	=	0.9138
http://conference#Conference_proceedings	http://ekaw#Conference_Proceedings	=	1.0000
http://conference#Track	http://ekaw#Track	=	1.0000
