SrcEntity	TgtEntity	Relation	Score
http://conference#Reviewer	http://iasted#Reviewer	=	1.0000
http://conference#Person	http://iasted#Person	=	1.0000
http://conference#Conference_part	http://iasted#Conference_days	=	0.7897
http://conference#is_given_by	http://iasted#is_given_by	=	1.0000
http://conference#Tutorial	http://iasted#Tutorial	=	1.0000
http://conference#Presentation	http://iasted#Presentation	=	1.0000
http://conference#Review	http://iasted#Review	=	1.0000
http://conference#Conference_fees	http://iasted#Conference_hotel	=	0.7363
http://conference#Conference_www	http://iasted#Conference_city	=	0.7571
http://conference#Conference_proceedings	http://iasted#Conference_building	=	0.7293
http://conference#Conference_participant	http://iasted#Conference_activity	=	0.7451
