SrcEntity	TgtEntity	Relation	Score
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept63	http://vocabularies.unesco.org/thesaurus/concept521	=	0.7966
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept9	http://vocabularies.unesco.org/thesaurus/concept12437	=	0.7805
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept60	http://vocabularies.unesco.org/thesaurus/concept17127	=	1.0000
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept67	http://vocabularies.unesco.org/thesaurus/concept516	=	0.7845
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept61	http://vocabularies.unesco.org/thesaurus/concept17094	=	0.8265
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept46	http://vocabularies.unesco.org/thesaurus/concept8357	=	0.7827
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept34	http://vocabularies.unesco.org/thesaurus/concept3354	=	0.9566
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept18	http://vocabularies.unesco.org/thesaurus/concept464	=	0.8225
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept37	http://vocabularies.unesco.org/thesaurus/concept3270	=	0.8142
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept53	http://vocabularies.unesco.org/thesaurus/concept5790	=	0.9218
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept33	http://vocabularies.unesco.org/thesaurus/concept505	=	0.8238
