SrcEntity	TgtEntity	Relation	Score
http://edas#AcceptedPaper	http://ekaw#Accepted_Paper	=	1.0000
http://edas#Conference	http://ekaw#Conference	=	1.0000
http://edas#Document	http://ekaw#Document	=	1.0000
http://edas#Organization	http://ekaw#Organisation	=	0.8797
http://edas#Presenter	http://ekaw#Presenter	=	1.0000
http://edas#Workshop	http://ekaw#Workshop	=	1.0000
http://edas#isWrittenBy	http://ekaw#reviewWrittenBy	=	0.7913
http://edas#Review	http://ekaw#Review	=	1.0000
http://edas#Paper	http://ekaw#Paper	=	1.0000
http://edas#ConferenceSession	http://ekaw#Conference_Session	=	1.0000
http://edas#forEvent	http://ekaw#hasEvent	=	0.7689
http://edas#SocialEvent	http://ekaw#Social_Event	=	1.0000
http://edas#Programme	http://ekaw#Programme_Brochure	=	0.7170
http://edas#SessionChair	http://ekaw#Session_Chair	=	1.0000
http://edas#ConferenceEvent	http://ekaw#Conference_Participant	=	0.7537
http://edas#PublishedPaper	http://ekaw#Submitted_Paper	=	0.7406
http://edas#TPCMember	http://ekaw#PC_Member	=	0.7442
http://edas#RejectedPaper	http://ekaw#Rejected_Paper	=	1.0000
http://edas#isReviewing	http://ekaw#hasReview	=	0.7662
http://edas#ConferenceDinner	http://ekaw#Conference_Paper	=	0.7428
http://edas#AcademicEvent	http://ekaw#Scientific_Event	=	0.7320
http://edas#Person	http://ekaw#Person	=	1.0000
http://edas#isLocationOf	http://ekaw#locationOf	=	0.9107
