SrcEntity	TgtEntity	Relation	Score
http://edas#Programme	http://iasted#Social_program	=	0.7294
http://edas#ConferenceDinner	http://iasted#Conference_days	=	0.8070
http://edas#ConferenceEvent	http://iasted#Conference_activity	=	0.7925
http://edas#Author	http://iasted#Author	=	1.0000
http://edas#Person	http://iasted#Person	=	1.0000
http://edas#Place	http://iasted#Place	=	1.0000
http://edas#Review	http://iasted#Review	=	1.0000
http://edas#CoffeeBreak	http://iasted#Coffee_break	=	1.0000
http://edas#Sponsorship	http://iasted#Sponsor	=	0.8628
http://edas#ConferenceChair	http://iasted#Conference_hall	=	0.7386
http://edas#ConferenceVenuePlace	http://iasted#Conference_hotel	=	0.7253
http://edas#Presenter	http://iasted#Hotel_presenter	=	0.8127
http://edas#Reception	http://iasted#Coctail_reception	=	0.7634
http://edas#Document	http://iasted#Document	=	1.0000
http://edas#SessionChair	http://iasted#Session_chair	=	1.0000
http://edas#Mexico	http://iasted#Mexico	=	1.0000
http://edas#Reviewer	http://iasted#Reviewer	=	1.0000
http://edas#WelcomeTalk	http://iasted#Welcome_address	=	0.7547
http://edas#PaperPresentation	http://iasted#Video_presentation	=	0.8029
http://edas#ConferenceSession	http://iasted#Conference_city	=	0.7370
