SrcEntity	TgtEntity	Relation	Score
http://edas#Author	http://sigkdd#Author	=	1.0000
http://edas#Conference	http://sigkdd#Conference	=	1.0000
http://edas#Organization	http://sigkdd#Organizator	=	0.7518
http://edas#Review	http://sigkdd#Review	=	1.0000
http://edas#ConferenceEvent	http://sigkdd#Conference_hall	=	0.7555
http://edas#Place	http://sigkdd#Place	=	1.0000
http://edas#Sponsorship	http://sigkdd#Sponzor	=	0.7374
http://edas#Document	http://sigkdd#Document	=	1.0000
http://edas#Paper	http://sigkdd#Paper	=	1.0000
http://edas#Person	http://sigkdd#Person	=	1.0000
