SrcEntity	TgtEntity	Relation	Score
http://ekaw#Conference_Participant	http://iasted#Conference_activity	=	0.7451
http://ekaw#Document	http://iasted#Document	=	1.0000
http://ekaw#Conference_Trip	http://iasted#Conference_Hiker	=	0.7433
http://ekaw#Session	http://iasted#Session	=	1.0000
http://ekaw#Conference_Session	http://iasted#Conference_days	=	0.7465
http://ekaw#Student	http://iasted#Student_lecturer	=	0.7252
http://ekaw#Presenter	http://iasted#Hotel_presenter	=	0.8127
http://ekaw#Tutorial	http://iasted#Tutorial	=	1.0000
http://ekaw#Review	http://iasted#Review	=	1.0000
http://ekaw#Individual_Presentation	http://iasted#Video_presentation	=	0.7570
http://ekaw#University	http://iasted#Presenter_university	=	0.7207
http://ekaw#Conference_Paper	http://iasted#Conference_state	=	0.7159
http://ekaw#Session_Chair	http://iasted#Session_chair	=	1.0000
http://ekaw#Person	http://iasted#Person	=	1.0000
http://ekaw#Conference_Proceedings	http://iasted#Conference_building	=	0.7293
