SrcEntity	TgtEntity	Relation	Score
http://human.owl#NCI_C12763	http://mouse.owl#MA_0000431	=	1.0000
http://human.owl#NCI_C52692	http://mouse.owl#MA_0002191	=	1.0000
http://human.owl#NCI_C32910	http://mouse.owl#MA_0000791	=	1.0000
http://human.owl#NCI_C12379	http://mouse.owl#MA_0000333	=	1.0000
http://human.owl#NCI_C52843	http://mouse.owl#MA_0000469	=	1.0000
http://human.owl#NCI_C32928	http://mouse.owl#MA_0002689	=	0.9483
http://human.owl#NCI_C12814	http://mouse.owl#MA_0000067	=	1.0000
http://human.owl#NCI_C52893	http://mouse.owl#MA_0002275	=	1.0000
http://human.owl#NCI_C32926	http://mouse.owl#MA_0002688	=	0.9206
http://human.owl#NCI_C53058	http://mouse.owl#MA_0002186	=	1.0000
http://human.owl#NCI_C53047	http://mouse.owl#MA_0002141	=	1.0000
http://human.owl#genid6053	http://mouse.owl#genid925	=	0.8063
http://human.owl#NCI_C52742	http://mouse.owl#MA_0002015	=	1.0000
http://human.owl#NCI_C12729	http://mouse.owl#MA_0000086	=	0.8006
http://human.owl#genid4699	http://mouse.owl#genid1295	=	0.8072
http://human.owl#NCI_C12790	http://mouse.owl#MA_0001472	=	1.0000
http://human.owl#NCI_C49599	http://mouse.owl#MA_0000732	=	0.8812
http://human.owl#NCI_C49223	http://mouse.owl#MA_0001568	=	0.9022
http://human.owl#NCI_C32293	http://mouse.owl#MA_0002506	=	1.0000
http://human.owl#genid7028	http://mouse.owl#genid1750	=	1.0000
http://human.owl#NCI_C12774	http://mouse.owl#MA_0002031	=	1.0000
http://human.owl#NCI_C52771	http://mouse.owl#MA_0000306	=	1.0000
http://human.owl#NCI_C32161	http://mouse.owl#MA_0000095	=	1.0000
http://human.owl#NCI_C52810	http://mouse.owl#MA_0001172	=	1.0000
http://human.owl#NCI_C52890	http://mouse.owl#MA_0002268	=	1.0000
http://human.owl#genid4697	http://mouse.owl#genid745	=	1.0000
http://human.owl#NCI_C49307	http://mouse.owl#MA_0001860	=	1.0000
http://human.owl#NCI_C52978	http://mouse.owl#MA_0002353	=	1.0000
http://human.owl#NCI_C12275	http://mouse.owl#MA_0001794	=	1.0000
http://human.owl#genid4497	http://mouse.owl#genid783	=	1.0000
http://human.owl#NCI_C12986	http://mouse.owl#MA_0000420	=	1.0000
http://human.owl#NCI_C32172	http://mouse.owl#MA_0000308	=	1.0000
http://human.owl#NCI_C12868	http://mouse.owl#MA_0000075	=	0.8851
http://human.owl#NCI_C33357	http://mouse.owl#MA_0002023	=	1.0000
http://human.owl#NCI_C52695	http://mouse.owl#MA_0002212	=	1.0000
http://human.owl#NCI_C12278	http://mouse.owl#MA_0001795	=	1.0000
http://human.owl#NCI_C13071	http://mouse.owl#MA_0002473	=	1.0000
http://human.owl#NCI_C12393	http://mouse.owl#MA_0000120	=	1.0000
http://human.owl#NCI_C12699	http://mouse.owl#MA_0001245	=	1.0000
http://human.owl#genid1759	http://mouse.owl#genid193	=	0.8130
http://human.owl#NCI_C12936	http://mouse.owl#MA_0000136	=	1.0000
http://human.owl#NCI_C52715	http://mouse.owl#MA_0001396	=	1.0000
http://human.owl#NCI_C52815	http://mouse.owl#MA_0001168	=	1.0000
http://human.owl#NCI_C33481	http://mouse.owl#MA_0000363	=	0.7938
http://human.owl#NCI_C32696	http://mouse.owl#MA_0000002	=	0.8074
http://human.owl#NCI_C12672	http://mouse.owl#MA_0000063	=	1.0000
http://human.owl#NCI_C52739	http://mouse.owl#MA_0002041	=	1.0000
