SrcEntity	TgtEntity	Relation	Score
http://iasted#Author	http://sigkdd#Author	=	1.0000
http://iasted#Nonmember_registration_fee	http://sigkdd#Registration_Non-Member	=	0.8220
http://iasted#Main_office	http://sigkdd#Main_office	=	1.0000
http://iasted#Sponzorship	http://sigkdd#Sponzor	=	0.8465
http://iasted#Place	http://sigkdd#Place	=	1.0000
http://iasted#pay	http://sigkdd#pay	=	1.0000
http://iasted#Speaker	http://sigkdd#Speaker	=	1.0000
http://iasted#Review	http://sigkdd#Review	=	1.0000
http://iasted#Fee	http://sigkdd#Fee	=	1.0000
http://iasted#Person	http://sigkdd#Person	=	1.0000
http://iasted#Student_registration_fee	http://sigkdd#Registration_Student	=	0.8414
http://iasted#Registration_fee	http://sigkdd#Registration_fee	=	1.0000
http://iasted#Conference_hall	http://sigkdd#Conference_hall	=	1.0000
http://iasted#Deadline	http://sigkdd#Deadline	=	1.0000
http://iasted#Document	http://sigkdd#Document	=	1.0000
http://iasted#Listener	http://sigkdd#Listener	=	1.0000
http://iasted#Hotel_room	http://sigkdd#Hotel	=	0.7618
http://iasted#obtain	http://sigkdd#obtain	=	1.0000
