Track,Task,Precision,Recall,F1-Score,Time (s),Total Time (s),Alignments,Correct,Reference,Type
anatomy,human-mouse,0.8574,0.8015,0.8285,7.51,9.92,1417,1215,1516,Task
bio-ml,ncit-doid,0.5253,0.5371,0.5311,120.16,138.2,3931,2065,3845,Task
bio-ml,snomed-fma,0.5891,0.1567,0.2475,260.16,289.87,1813,1068,6817,Task
bio-ml,snomed-ncit,0.5527,0.436,0.4875,174.26,216.97,17093,9448,21669,Task
circular-economy,CEON-BiOnto,0.5532,0.8966,0.6842,5.03,40.08,47,26,29,Task
circular-economy,CEON-MATONTO,0.2419,0.9375,0.3846,4.91,5.26,62,15,16,Task
conference,cmt-confOf,0.6667,0.25,0.3636,3.45,3.63,6,4,16,Task
conference,cmt-conference,0.5,0.5333,0.5161,3.53,3.72,16,8,15,Task
conference,cmt-edas,0.8,0.6154,0.6957,2.86,3.02,10,8,13,Task
conference,cmt-ekaw,0.5,0.5455,0.5217,2.17,2.32,12,6,11,Task
conference,cmt-iasted,0.5714,1.0,0.7273,2.72,2.86,7,4,4,Task
conference,cmt-sigkdd,0.6923,0.75,0.72,2.67,2.81,13,9,12,Task
conference,confOf-edas,0.5789,0.5789,0.5789,2.49,2.63,19,11,19,Task
conference,confOf-ekaw,0.7222,0.65,0.6842,1.97,2.1,18,13,20,Task
conference,confOf-iasted,0.5455,0.6667,0.6,2.48,2.62,11,6,9,Task
conference,confOf-sigkdd,1.0,0.5714,0.7273,2.5,2.63,4,4,7,Task
conference,conference-confOf,0.5625,0.6,0.5806,2.46,2.6,16,9,15,Task
conference,conference-edas,0.4,0.4706,0.4324,2.4,2.53,20,8,17,Task
conference,conference-ekaw,0.5,0.48,0.4898,1.87,2.01,24,12,25,Task
conference,conference-iasted,0.3636,0.2857,0.32,2.34,2.48,11,4,14,Task
conference,conference-sigkdd,0.6923,0.6,0.6429,2.36,2.5,13,9,15,Task
conference,edas-ekaw,0.5652,0.5652,0.5652,2.01,2.15,23,13,23,Task
conference,edas-iasted,0.5,0.5263,0.5128,2.52,2.67,20,10,19,Task
conference,edas-sigkdd,0.7,0.4667,0.56,2.51,2.66,10,7,15,Task
conference,ekaw-iasted,0.4,0.6,0.48,1.86,1.99,15,6,10,Task
conference,ekaw-sigkdd,0.7778,0.6364,0.7,1.88,2.0,9,7,11,Task
conference,iasted-sigkdd,0.7222,0.8667,0.7879,2.34,2.47,18,13,15,Task
digital-humanities,defc-pactols1,0.7778,0.7,0.7368,2.62,2.78,9,7,10,Task
digital-humanities,dha-unesco1,0.3636,0.4,0.381,1.87,2.04,11,4,10,Task
digital-humanities,idai-pactols2,0.6,0.1765,0.2727,4.07,4.26,5,3,17,Task
digital-humanities,ironagedanube-pactols3,0.6667,0.8,0.7273,1.88,2.04,6,4,5,Task
digital-humanities,oeai-parthenos2,0.6818,0.6383,0.6593,2.1,2.26,44,30,47,Task
digital-humanities,pactols4-parthenos1,1.0,0.5833,0.7368,1.85,2.01,7,7,12,Task
digital-humanities,tadirah-unesco2,0.6923,0.6,0.6429,1.67,1.83,13,9,15,Task
knowledge-graph,marvelcinematicuniverse-marvel,0.3315,0.5681,0.4187,239.1,285.1,2857,947,1667,Task
knowledge-graph,memoryalpha-memorybeta,0.4875,0.7755,0.5987,69.93,88.29,14893,7261,9363,Task
knowledge-graph,memoryalpha-stexpanded,0.3883,0.8398,0.531,50.06,60.52,3848,1494,1779,Task
knowledge-graph,starwars-swg,0.2522,0.6432,0.3623,127.08,154.33,2859,721,1121,Task
knowledge-graph,starwars-swtor,0.3573,0.8614,0.5051,84.09,110.63,3445,1231,1429,Task
