SrcEntity	TgtEntity	Relation	Score
http://snomed.info/id/49347007	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41236	=	1.0000
http://snomed.info/id/412124008	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29244	=	1.0000
http://snomed.info/id/387317000	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65325	=	1.0000
http://snomed.info/id/420135007	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41067	=	1.0000
http://snomed.info/id/297536008	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C154021	=	1.0000
http://snomed.info/id/127536003	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86798	=	1.0000
http://snomed.info/id/118596002	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75756	=	1.0000
http://snomed.info/id/428525005	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65755	=	1.0000
http://snomed.info/id/82468009	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63713	=	1.0000
http://snomed.info/id/387567006	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C73315	=	1.0000
http://snomed.info/id/53046009	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54568	=	1.0000
http://snomed.info/id/235771005	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35403	=	1.0000
http://snomed.info/id/42605004	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C219	=	1.0000
http://snomed.info/id/56639005	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26115	=	1.0000
http://snomed.info/id/82049002	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9009	=	1.0000
http://snomed.info/id/85320007	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C72416	=	1.0000
http://snomed.info/id/232059000	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34760	=	1.0000
http://snomed.info/id/2435008	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C128392	=	1.0000
http://snomed.info/id/32315000	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C177980	=	1.0000
http://snomed.info/id/417542000	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C77199	=	1.0000
http://snomed.info/id/444853000	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C153923	=	1.0000
http://snomed.info/id/373905003	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84793	=	1.0000
http://snomed.info/id/387561007	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C87357	=	1.0000
http://snomed.info/id/198328003	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C188270	=	1.0000
http://snomed.info/id/372831009	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76523	=	1.0000
http://snomed.info/id/961541000124104	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C88791	=	1.0000
http://snomed.info/id/89855005	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35845	=	1.0000
http://snomed.info/id/76701006	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40415	=	1.0000
http://snomed.info/id/387419003	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29119	=	1.0000
http://snomed.info/id/104522005	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74846	=	1.0000
http://snomed.info/id/313415001	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C73429	=	1.0000
http://snomed.info/id/81817003	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C197845	=	1.0000
http://snomed.info/id/3830001	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C127819	=	1.0000
http://snomed.info/id/712715004	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C81142	=	1.0000
http://snomed.info/id/1256114007	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53419	=	1.0000
http://snomed.info/id/24476004	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C187916	=	1.0000
http://snomed.info/id/465568008	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34287	=	1.0000
http://snomed.info/id/1290690001	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C157623	=	1.0000
http://snomed.info/id/387274000	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C559	=	1.0000
http://snomed.info/id/699273008	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74386	=	1.0000
http://snomed.info/id/2477008	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78634	=	1.0000
http://snomed.info/id/387354009	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74162	=	1.0000
http://snomed.info/id/257549005	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35459	=	1.0000
http://snomed.info/id/75876003	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84148	=	1.0000
http://snomed.info/id/83559000	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C71409	=	1.0000
http://snomed.info/id/713395006	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66944	=	1.0000
http://snomed.info/id/43726711000001101	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C148181	=	1.0000
http://snomed.info/id/116396007	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C187909	=	1.0000
http://snomed.info/id/72315009	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84786	=	1.0000
http://snomed.info/id/6260007	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74198	=	1.0000
http://snomed.info/id/3325005	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101788	=	1.0000
http://snomed.info/id/30854004	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86246	=	1.0000
http://snomed.info/id/118569000	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C179790	=	1.0000
http://snomed.info/id/713466003	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C76221	=	1.0000
http://snomed.info/id/372805007	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C380	=	1.0000
http://snomed.info/id/70597009	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61481	=	1.0000
http://snomed.info/id/708181006	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C95235	=	1.0000
http://snomed.info/id/700250006	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35716	=	1.0000
http://snomed.info/id/412244007	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66086	=	1.0000
http://snomed.info/id/5701000146107	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C123536	=	1.0000
http://snomed.info/id/264516005	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C173627	=	1.0000
http://snomed.info/id/448868009	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C194050	=	1.0000
http://snomed.info/id/412248005	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48004	=	1.0000
http://snomed.info/id/22792006	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66641	=	1.0000
http://snomed.info/id/223517008	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16563	=	1.0000
http://snomed.info/id/10020007	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65264	=	1.0000
http://snomed.info/id/1149428003	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C152112	=	1.0000
http://snomed.info/id/90096001	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94989	=	1.0000
